names,index,setting,Core,Parallelism,cri,makespan
other ,67,NoCore ,5,30,20,43033
our ,68,NoCore,5,30,20,37102
other ,68,NoCore ,5,30,20,36688
other ,43,NoCore ,6,30,20,38159
our ,44,NoCore,6,30,20,33535
other ,44,NoCore ,6,30,20,34235
our ,69,NoCore,5,30,20,37102
our ,45,NoCore,6,30,20,33535
other ,45,NoCore ,6,30,20,37024
other ,69,NoCore ,5,30,20,38244
our ,70,NoCore,5,30,20,37102
our ,46,NoCore,6,30,20,33535
other ,46,NoCore ,6,30,20,34210
other ,70,NoCore ,5,30,20,41046
our ,47,NoCore,6,30,20,33535
our ,71,NoCore,5,30,20,37102
other ,47,NoCore ,6,30,20,38741
other ,71,NoCore ,5,30,20,43669
our ,48,NoCore,6,30,20,33535
our ,72,NoCore,5,30,20,37102
other ,48,NoCore ,6,30,20,36784
our ,49,NoCore,6,30,20,33535
other ,72,NoCore ,5,30,20,39302
our ,73,NoCore,5,30,20,37102
other ,49,NoCore ,6,30,20,38550
our ,50,NoCore,6,30,20,33535
other ,73,NoCore ,5,30,20,40278
our ,74,NoCore,5,30,20,37102
other ,50,NoCore ,6,30,20,35798
other ,74,NoCore ,5,30,20,37943
our ,51,NoCore,6,30,20,33535
our ,75,NoCore,5,30,20,37102
other ,51,NoCore ,6,30,20,39239
other ,75,NoCore ,5,30,20,37160
our ,52,NoCore,6,30,20,33535
our ,76,NoCore,5,30,20,37102
other ,52,NoCore ,6,30,20,37304
other ,76,NoCore ,5,30,20,37991
our ,53,NoCore,6,30,20,33535
our ,77,NoCore,5,30,20,37102
other ,53,NoCore ,6,30,20,37376
our ,54,NoCore,6,30,20,33535
other ,77,NoCore ,5,30,20,39889
other ,54,NoCore ,6,30,20,34614
our ,78,NoCore,5,30,20,37102
our ,55,NoCore,6,30,20,33535
other ,78,NoCore ,5,30,20,38393
other ,55,NoCore ,6,30,20,38250
our ,79,NoCore,5,30,20,37102
our ,56,NoCore,6,30,20,33535
other ,79,NoCore ,5,30,20,37290
other ,56,NoCore ,6,30,20,35553
our ,80,NoCore,5,30,20,37102
our ,57,NoCore,6,30,20,33535
other ,80,NoCore ,5,30,20,39836
other ,57,NoCore ,6,30,20,39070
our ,81,NoCore,5,30,20,37102
our ,58,NoCore,6,30,20,33535
other ,81,NoCore ,5,30,20,38435
other ,58,NoCore ,6,30,20,37319
our ,82,NoCore,5,30,20,37102
our ,59,NoCore,6,30,20,33535
other ,59,NoCore ,6,30,20,36293
other ,82,NoCore ,5,30,20,37498
our ,60,NoCore,6,30,20,33535
our ,83,NoCore,5,30,20,37102
other ,60,NoCore ,6,30,20,34782
other ,83,NoCore ,5,30,20,40218
our ,61,NoCore,6,30,20,33535
our ,84,NoCore,5,30,20,37102
other ,61,NoCore ,6,30,20,39078
other ,84,NoCore ,5,30,20,41759
our ,85,NoCore,5,30,20,37102
our ,62,NoCore,6,30,20,33535
other ,85,NoCore ,5,30,20,38311
other ,62,NoCore ,6,30,20,38807
our ,86,NoCore,5,30,20,37102
our ,63,NoCore,6,30,20,33535
other ,63,NoCore ,6,30,20,39394
other ,86,NoCore ,5,30,20,42066
our ,64,NoCore,6,30,20,33535
our ,87,NoCore,5,30,20,37102
other ,64,NoCore ,6,30,20,36894
other ,87,NoCore ,5,30,20,40028
our ,65,NoCore,6,30,20,33535
our ,88,NoCore,5,30,20,37102
other ,65,NoCore ,6,30,20,37165
other ,88,NoCore ,5,30,20,36667
our ,89,NoCore,5,30,20,37102
our ,66,NoCore,6,30,20,33535
other ,89,NoCore ,5,30,20,41433
other ,66,NoCore ,6,30,20,38481
our ,67,NoCore,6,30,20,33535
our ,90,NoCore,5,30,20,37102
other ,67,NoCore ,6,30,20,35663
other ,90,NoCore ,5,30,20,41835
our ,68,NoCore,6,30,20,33535
our ,91,NoCore,5,30,20,37102
other ,68,NoCore ,6,30,20,38473
other ,91,NoCore ,5,30,20,37863
our ,69,NoCore,6,30,20,33535
our ,92,NoCore,5,30,20,37102
other ,69,NoCore ,6,30,20,39001
other ,92,NoCore ,5,30,20,42251
our ,70,NoCore,6,30,20,33535
our ,93,NoCore,5,30,20,37102
other ,70,NoCore ,6,30,20,36484
other ,93,NoCore ,5,30,20,43663
our ,71,NoCore,6,30,20,33535
our ,94,NoCore,5,30,20,37102
other ,71,NoCore ,6,30,20,35624
other ,94,NoCore ,5,30,20,39939
our ,72,NoCore,6,30,20,33535
our ,95,NoCore,5,30,20,37102
other ,72,NoCore ,6,30,20,38042
our ,73,NoCore,6,30,20,33535
other ,95,NoCore ,5,30,20,43052
our ,96,NoCore,5,30,20,37102
other ,73,NoCore ,6,30,20,38550
our ,74,NoCore,6,30,20,33535
other ,96,NoCore ,5,30,20,40455
other ,74,NoCore ,6,30,20,35623
our ,97,NoCore,5,30,20,37102
our ,75,NoCore,6,30,20,33535
other ,97,NoCore ,5,30,20,40324
other ,75,NoCore ,6,30,20,39084
our ,98,NoCore,5,30,20,37102
our ,76,NoCore,6,30,20,33535
other ,98,NoCore ,5,30,20,37502
other ,76,NoCore ,6,30,20,33838
our ,99,NoCore,5,30,20,37102
our ,77,NoCore,6,30,20,33535
other ,99,NoCore ,5,30,20,38996
other ,77,NoCore ,6,30,20,39215
our ,100,NoCore,5,30,20,37102
our ,78,NoCore,6,30,20,33535
other ,100,NoCore ,5,30,20,40906
our ,101,NoCore,5,30,20,37102
other ,78,NoCore ,6,30,20,39006
other ,101,NoCore ,5,30,20,39504
our ,79,NoCore,6,30,20,33535
our ,102,NoCore,5,30,20,37102
other ,79,NoCore ,6,30,20,38567
other ,102,NoCore ,5,30,20,42060
our ,80,NoCore,6,30,20,33535
our ,103,NoCore,5,30,20,37102
other ,80,NoCore ,6,30,20,38925
our ,81,NoCore,6,30,20,33535
other ,103,NoCore ,5,30,20,41859
our ,104,NoCore,5,30,20,37102
other ,81,NoCore ,6,30,20,34790
our ,82,NoCore,6,30,20,33535
other ,104,NoCore ,5,30,20,38551
other ,82,NoCore ,6,30,20,39372
our ,105,NoCore,5,30,20,37102
our ,83,NoCore,6,30,20,33535
other ,105,NoCore ,5,30,20,40184
other ,83,NoCore ,6,30,20,36131
our ,106,NoCore,5,30,20,37102
our ,84,NoCore,6,30,20,33535
other ,106,NoCore ,5,30,20,42159
other ,84,NoCore ,6,30,20,36888
our ,107,NoCore,5,30,20,37102
our ,85,NoCore,6,30,20,33535
other ,107,NoCore ,5,30,20,38517
other ,85,NoCore ,6,30,20,36866
our ,108,NoCore,5,30,20,37102
our ,86,NoCore,6,30,20,33535
other ,108,NoCore ,5,30,20,39705
our ,109,NoCore,5,30,20,37102
other ,86,NoCore ,6,30,20,35952
our ,87,NoCore,6,30,20,33535
other ,109,NoCore ,5,30,20,40686
our ,110,NoCore,5,30,20,37102
other ,87,NoCore ,6,30,20,39552
our ,88,NoCore,6,30,20,33535
other ,110,NoCore ,5,30,20,40729
our ,111,NoCore,5,30,20,37102
other ,111,NoCore ,5,30,20,38778
our ,112,NoCore,5,30,20,37102
other ,88,NoCore ,6,30,20,39350
our ,89,NoCore,6,30,20,33535
other ,112,NoCore ,5,30,20,41575
other ,89,NoCore ,6,30,20,39585
our ,113,NoCore,5,30,20,37102
our ,90,NoCore,6,30,20,33535
other ,90,NoCore ,6,30,20,36383
other ,113,NoCore ,5,30,20,39823
our ,114,NoCore,5,30,20,37102
our ,91,NoCore,6,30,20,33535
other ,114,NoCore ,5,30,20,39276
other ,91,NoCore ,6,30,20,36593
our ,92,NoCore,6,30,20,33535
other ,92,NoCore ,6,30,20,38035
our ,115,NoCore,5,30,20,37102
our ,93,NoCore,6,30,20,33535
other ,115,NoCore ,5,30,20,40497
our ,116,NoCore,5,30,20,37102
other ,93,NoCore ,6,30,20,40013
our ,94,NoCore,6,30,20,33535
other ,116,NoCore ,5,30,20,38257
our ,117,NoCore,5,30,20,37102
other ,94,NoCore ,6,30,20,35572
our ,95,NoCore,6,30,20,33535
other ,117,NoCore ,5,30,20,37649
our ,118,NoCore,5,30,20,37102
other ,118,NoCore ,5,30,20,37934
our ,119,NoCore,5,30,20,37102
other ,95,NoCore ,6,30,20,37221
our ,96,NoCore,6,30,20,33535
other ,119,NoCore ,5,30,20,38153
other ,96,NoCore ,6,30,20,39156
our ,120,NoCore,5,30,20,37102
our ,97,NoCore,6,30,20,33535
other ,120,NoCore ,5,30,20,39071
other ,97,NoCore ,6,30,20,34634
our ,121,NoCore,5,30,20,37102
our ,98,NoCore,6,30,20,33535
other ,98,NoCore ,6,30,20,36716
our ,99,NoCore,6,30,20,33535
other ,121,NoCore ,5,30,20,37828
other ,99,NoCore ,6,30,20,35253
our ,122,NoCore,5,30,20,37102
other ,122,NoCore ,5,30,20,41996
our ,100,NoCore,6,30,20,33535
our ,123,NoCore,5,30,20,37102
other ,100,NoCore ,6,30,20,38425
other ,123,NoCore ,5,30,20,38217
our ,101,NoCore,6,30,20,33535
our ,124,NoCore,5,30,20,37102
other ,101,NoCore ,6,30,20,39457
other ,124,NoCore ,5,30,20,40095
our ,125,NoCore,5,30,20,37102
our ,102,NoCore,6,30,20,33535
other ,125,NoCore ,5,30,20,39126
other ,102,NoCore ,6,30,20,38701
our ,126,NoCore,5,30,20,37102
our ,103,NoCore,6,30,20,33535
other ,103,NoCore ,6,30,20,36790
other ,126,NoCore ,5,30,20,38273
our ,127,NoCore,5,30,20,37102
our ,104,NoCore,6,30,20,33535
other ,127,NoCore ,5,30,20,39206
other ,104,NoCore ,6,30,20,38886
our ,105,NoCore,6,30,20,33535
other ,105,NoCore ,6,30,20,37598
our ,128,NoCore,5,30,20,37102
our ,106,NoCore,6,30,20,33535
other ,128,NoCore ,5,30,20,39621
our ,129,NoCore,5,30,20,37102
other ,106,NoCore ,6,30,20,39591
